id;logo_path;name;origin_country;movie_id
174;/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png;Warner Bros. Pictures;US;78
724;;Beijing New Picture Film Co. Ltd.;;79
2269;;China Film Co-Production Corporation;;79
14;/m6AHu84oZQxvq7n1rsvMNJIAsMu.png;Miramax;US;79
11509;;Warner Independent Pictures (WIP);US;80
97;/7znWcbDd4PcJzJUlJxYqAlPPykp.png;Castle Rock Entertainment;US;80
11510;/gg3gP2wHNNfOfLKdXGjYC9qJ9ok.png;Detour Filmproduction;US;80
29;/2ZGkaLO1oVR39zxtQca8iDaU7fR.png;Topcraft;JP;81
52846;/w2nzPUUGenayZtb3stEdfpOdz2s.png;Metropolis Films;UY;82
33;/8lvHyhjr8oUKOOy2dKXoALWKdp0.png;Universal Pictures;US;82
675;;Forward Pass;US;82
52844;;Motion Picture ETA Produktionsgesellschaft;;82
52845;/56uEMEnS7pTNu5LuUYd4KNzgu5.png;Foqus Arte Digital;PY;82
65822;;Michael Mann Productions;;82
22376;;Plunge Pictures LLC;;83
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;85
1;/o86DbpburjxrqAzEDhXZcyE8pDb.png;Lucasfilm Ltd.;US;85
74;/v8CBkNxdmHbQc9JpnaEfHGBMXco.png;Moovie;DE;86
75;;Medienfonds German Film Productions GmbH & Co. KG;DE;86
47;/i7Z9ot2o3N5Sa3HrF09kniFs2y8.png;Constantin Film;DE;86
1251;/fc0O0mvjl8PbHgZXXY2VgPYos1Z.png;ARD;DE;86
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;87
1;/o86DbpburjxrqAzEDhXZcyE8pDb.png;Lucasfilm Ltd.;US;87
137;;Great American Films Limited Partnership;;88
12360;/EugVVMfcbv9zxCr0C60VhD0vGY.png;Vestron Pictures;US;88
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;89
1;/o86DbpburjxrqAzEDhXZcyE8pDb.png;Lucasfilm Ltd.;US;89
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;90
30;;Eddie Murphy Productions;US;90
10288;;Don Simpson/Jerry Bruckheimer Films;US;90
85869;;Ramón Acín;;91
37058;/pWUIywEOdy0650kBbuRw5aI90zA.png;Lotus-Film;AT;92
8490;;Fama Film AG;;92
5;/lieeAioEBVsgsoDT9HICrdt5iRa.png;Columbia Pictures;US;93
31;/8a71Y2PZAoYEz70C5tULJU6ex97.png;Hamburger Filmschule;DE;94
9195;/ou5BUbtulr6tIt699q6xJiEQTR9.png;Touchstone Pictures;US;95
130;/c9dVHPOL3cqCr2593Ahk0nEKTEM.png;Jerry Bruckheimer Films;US;95
11533;/tWM9pmzVYxok4GbQIttxdcml1yT.png;Valhalla Motion Pictures;US;95
30;;Eddie Murphy Productions;US;96
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;96
10288;;Don Simpson/Jerry Bruckheimer Films;US;96
558;;Lisberger/Kushner Productions;;97
3166;/vyyv4Gy9nPqAZKElPm2izLlEaVS.png;Walt Disney Productions;US;97
33;/8lvHyhjr8oUKOOy2dKXoALWKdp0.png;Universal Pictures;US;98
1645;/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png;Scott Free Productions;GB;98
14440;;Red Wagon Entertainment;US;98
21904;;Mill Film;GB;98
21905;;C & L;MT;98
21906;;Dawliz;MA;98
7;/vru2SssLX3FPhnKZGtYw00pVIS9.png;DreamWorks Pictures;US;98
82;;Renn Productions;FR;99
83;/9OQ0rm55xtlgX7KcAKMUePJSrQc.png;France 2 Cinéma;FR;99
49;/xpf5iHdvvBtsH8jBMlgIJHAET0c.png;El Deseo;ES;99
357;;Vía Digital;ES;99
104;/9aotxauvc9685tq9pTcRJszuT06.png;Canal+;FR;99
491;/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png;Summit Entertainment;US;100
21920;;The Steve Tisch Company;;100
13419;;SKA Films;GB;100
1382;/sOg7LGESPH5vCTOIdbMhLuypoLL.png;PolyGram Filmed Entertainment;US;100
20076;/i9qXGJIP9fGN22PP5jXUVENbyHi.png;HandMade Films;GB;100
9;/nda3dTUYdDrJ6rZqBpYvY865aDv.png;Gaumont;FR;101
66743;;Les Films du Dauphin;FR;101
76;/nebkQYtQKhZyHJfh5v0oGpNbPzu.png;Zentropa Entertainments;DK;102
118;/AiBorgNTCS1lT1FdFPYheax9jfF.png;Det Danske Filminstitut;DK;102
46059;;Italo/Judeo Productions;;103
46060;;Bill/Phillips;;103
5;/lieeAioEBVsgsoDT9HICrdt5iRa.png;Columbia Pictures;US;103
96;/9ps82gVzUeNdkjmLzoGDQLiLDio.png;X Filme Creative Pool;DE;104
46;/3xFdKHLXPGHEbrAkmsepGE8974Y.png;WDR;DE;104
33;/8lvHyhjr8oUKOOy2dKXoALWKdp0.png;Universal Pictures;US;105
56;/cEaxANEisCqeEoRvODv2dO1I0iI.png;Amblin Entertainment;US;105
1885;/tXMFoE8AtNdnFzWOW0aCLwl7xxS.png;Silver Pictures;US;106
25;/qZCc1lty5FzX30aOCVRBLzaVmcp.png;20th Century Fox;US;106
840;;Lawrence Gordon Productions;US;106
1302;/zC3b70ixHh89qJIikLQPEvLqbPM.png;Davis Entertainment;US;106
5263;;Amercent Films;;106
5264;;American Entertainment Partners L.P.;;106
124763;;Estudios Churubusco Azteca S.A.;;106
13419;;SKA Films;GB;107
5;/lieeAioEBVsgsoDT9HICrdt5iRa.png;Columbia Pictures;US;107
591;/q5I5RDwMEiqoNmfaJgd2LraEOJY.png;France 3 Cinéma;FR;108
1610;;CED Productions;;108
14;/m6AHu84oZQxvq7n1rsvMNJIAsMu.png;Miramax;US;108
183;;Le Studio Canal+;FR;109
591;/q5I5RDwMEiqoNmfaJgd2LraEOJY.png;France 3 Cinéma;FR;109
850;/aF7qajGJGtMpdrtvssM9g90YanX.png;Eurimages;FR;109
14;/m6AHu84oZQxvq7n1rsvMNJIAsMu.png;Miramax;US;109
38;/qMi10Y3HnR7BQRqMC4ch7qZ6HN4.png;Zespół Filmowy TOR;PL;110
183;;Le Studio Canal+;FR;110
591;/q5I5RDwMEiqoNmfaJgd2LraEOJY.png;France 3 Cinéma;FR;110
1245;/suKdkPTtHn0DzGYmrXCA506dJON.png;TSR;CH;110
33;/8lvHyhjr8oUKOOy2dKXoALWKdp0.png;Universal Pictures;US;111
76;/nebkQYtQKhZyHJfh5v0oGpNbPzu.png;Zentropa Entertainments;DK;112
139;;LJ Film;KR;113
11554;;Korea Pictures;KR;113
685;;Cineclick Asia;KR;113
11555;;Cinesoul;;113
11556;;Mirae Asset Capital;;113
11557;;Muhan Investment;;113
140;/ooz5b0ov3PLfBoOJyMmdoffVuHs.png;Pandora Film;DE;113
9195;/ou5BUbtulr6tIt699q6xJiEQTR9.png;Touchstone Pictures;US;114
10282;;Silver Screen Partners IV;US;114
37;/24D25UH5SyteudhPXW6Oy0Qfj1q.png;Gramercy Pictures;US;115
1382;/sOg7LGESPH5vCTOIdbMhLuypoLL.png;PolyGram Filmed Entertainment;US;115
10163;/16KWBMmfPX0aJzDExDrPxSLj0Pg.png;Working Title Films;GB;115
7;/vru2SssLX3FPhnKZGtYw00pVIS9.png;DreamWorks Pictures;US;116
288;/aW0IpM9d4Zjj978EqgDVSxXXhTj.png;BBC Film;GB;116
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;117
80;;The Zanuck Company;US;118
55512;;Theobald Film Productions;GB;118
81;/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png;Plan B Entertainment;US;118
12;/5ThIuO93vsk47oexKTSdfKEr7EC.png;New Line Cinema;US;120
11;/6FAuASQHybRkZUk08p9PzSs9ezM.png;WingNut Films;NZ;120
5237;;The Saul Zaentz Company;US;120
12;/5ThIuO93vsk47oexKTSdfKEr7EC.png;New Line Cinema;US;121
11;/6FAuASQHybRkZUk08p9PzSs9ezM.png;WingNut Films;NZ;121
5237;;The Saul Zaentz Company;US;121
12;/5ThIuO93vsk47oexKTSdfKEr7EC.png;New Line Cinema;US;122
11;/6FAuASQHybRkZUk08p9PzSs9ezM.png;WingNut Films;NZ;122
5237;;The Saul Zaentz Company;US;122
286;;Fantasy Films;;123
4921;;Bakshi Productions;;123
141322;;Saul Zaentz Film Productions;;123
1587;;Film Polski;PL;124
73037;;Studio Filmowe Tor;PL;124
